,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
23,Madhav Marbles,Ceramics & Granite,54.70,1.80,3.40,49.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/madhavmarblesgranites/MMG,MADHAV.NS
24,ARSS Infra,Construction & Contracting - Civil,21.80,0.65,3.07,50.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/arssinfrastructureprojects/AIP,ARSSINFRA.NS
25,BL Kashyap,,26.95,0.75,2.86,608.0,https://www.moneycontrol.com/india/stockpricequote/blkashyapsons/blkashyapsons/BLK,BLKASHYAP.NS
26,CCCL,Construction & Contracting - Civil,1.85,0.05,2.78,74.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/consolidatedconstructionconsortium/CCC02,CCCL.NS
27,Unitech,Construction & Contracting - Civil,2.00,0.05,2.56,523.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/unitech/U,UNITECH.NS
28,Kaushalya Infra,Construction & Contracting - Civil,4.10,0.10,2.50,14.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/kaushalyainfrastructuredevelopmentcorporation/KID,KAUSHALYA.NS
29,KCP,Cement - Major,117.95,2.80,2.43,1521.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/kcp/KCP,KCP.NS
30,Asian Granito,Ceramics & Granite,68.35,1.60,2.40,866.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04,ASIANTILES.NS
31,Nitco,Ceramics & Granite,24.05,0.50,2.12,173.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/nitco/N52,NITCO.NS
32,Patel Eng,Construction & Contracting - Civil,26.75,0.55,2.10,1346.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/patelengineeringcompany/PEC,PATELENG.NS
33,Orient Cement,Cement - Major,120.85,2.25,1.90,2476.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/orientcement/OC10,ORIENTCEM.NS
34,HIL,Cement - Products & Building Materials,3692.20,67.55,1.86,2774.0,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/hil/HI09,HIL.NS
