,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
119,Onelife Capital,Finance - Investments,13.80,0.00,0.00,18.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/onelifecapitaladvisors/OCA,ONELIFECAP.NS
120,Monarch Net,Finance - Investments,373.70,-0.10,-0.03,1160.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/monarchnetworthcapital/NSB,MONARCH.NS
121,Indostar Capita,Finance - General,184.10,-0.05,-0.03,2505.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/indostarcapitalfinance/ICF,INDOSTAR.NS
122,Dhani Services,Finance - Investments,70.00,-0.05,-0.07,4270.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/dhaniservices/IS13,DHANI.NS
123,NBI Industrial,Finance - General,1791.50,-1.55,-0.09,440.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/nbiindustrialfinancecompany/NBI02,NBIFIN.NS
124,MAS Financial S,Finance - General,752.25,-0.85,-0.11,4112.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/masfinancialservices/MFS09,MASFIN.NS
125,Nippon ETF Ha,,271.93,-0.35,-0.13,12.0,https://www.moneycontrol.com/india/stockpricequote/nipponindiaetfhangsengbees/nipponindiaetfhangsengbees/BMF01,HNGSNGBEES.NS
126,Choice Internat,Finance - General,432.95,-0.60,-0.14,2154.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/choiceinternational/CFS01,CHOICEIN.NS
127,JSW Holdings,Finance - Investments,3630.30,-6.75,-0.19,4029.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jswholdings/JSW,JSWHL.NS
128,Sundaram,Finance - General,78.65,-0.15,-0.19,1747.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/sundaramfinanceholdings/SFH,SUNDARMHLD.NS
129,Capital Trust,Finance - Leasing & Hire Purchase,102.50,-0.20,-0.19,168.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/capitaltrust/CT,CAPTRUST.NS
130,Arman Financial,Finance - Leasing & Hire Purchase,1419.40,-4.45,-0.31,1205.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/armanfinancialservices/AFS04,ARMANFIN.NS
131,Crest Ventures,Finance - Housing,172.85,-0.65,-0.37,492.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/crestventures/SR,CREST.NS
132,Signet Ind,Finance - Investments,41.35,-0.20,-0.48,122.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/signetindustries/SF22,SIGIND.NS
133,Industrial Inv,Finance - Investments,70.00,-0.35,-0.50,158.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/industrialinvestmenttrust/IIT01,IITL.NS
134,Kanani Ind,Diamond Cutting & Jewellery & Precious Metals,9.95,-0.05,-0.50,98.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/kananiindustries/KI26,KANANIIND.NS
135,Poonawalla Fin,,303.60,-1.75,-0.57,23229.0,https://www.moneycontrol.com/india/stockpricequote/poonawallafincorp/poonawallafincorp/MF20,POONAWALLA.NS
136,HDFC AMC,Finance - Investments,2001.90,-12.55,-0.62,42702.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02,HDFCAMC.NS
137,City Union Bank,Banks - Private Sector,178.70,-1.40,-0.78,13216.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB,CUB.NS
138,Dhanlaxmi Bank,Banks - Private Sector,12.30,-0.10,-0.81,311.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dhanlaxmibank/DB01,DHANBANK.NS
