,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
68,Navkar Corp,Transport & Logistics,62.05,-0.90,-1.43,934.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/navkarcorporation/NC02,NAVKARCORP.NS
69,Fortis Health,Hospitals & Medical Services,287.00,-4.65,-1.59,21667.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH,FORTIS.NS
70,Jindal Worldwid,Textiles - General,204.00,-3.35,-1.62,4091.0,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jindalworldwide/JW01,JINDWORLD.NS
71,Metropolis,Hospitals & Medical Services,1377.45,-25.45,-1.81,7053.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/metropolishealthcare/MH06,METROPOLIS.NS
72,EIH,Hotels,184.15,-3.80,-2.02,11516.0,https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,EIHOTEL.NS
73,Transport Corp,Transport & Logistics,694.55,-14.65,-2.07,5384.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04,TCI.NS
74,Thangamayil,Diamond Cutting & Jewellery & Precious Metals,1100.90,-23.45,-2.09,1510.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/thangamayiljewellery/TJ,THANGAMAYL.NS
75,Oriental Hotels,Hotels,66.60,-1.45,-2.13,1189.0,https://www.moneycontrol.com/india/stockpricequote/hotels/orientalhotels/OH,ORIENTHOT.NS
76,Future Supply,Transport & Logistics,26.30,-0.60,-2.23,115.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/futuresupplychainsolutions/FSC,FSC.NS
77,Orissa Bengal C,Transport & Logistics,102.55,-2.55,-2.43,216.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/orissabengalcarrierltd/OBC01,OBCL.NS
78,Snowman Logist,Transport & Logistics,37.00,-1.05,-2.76,618.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/snowmanlogistics/SL17,SNOWMAN.NS
79,Poly Medicure,Hospitals & Medical Services,872.25,-27.25,-3.03,8365.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/polymedicure/PM06,POLYMED.NS
80,Swan Energy,Trading,216.45,-6.85,-3.07,5712.0,https://www.moneycontrol.com/india/stockpricequote/trading/swanenergy/SM09,SWANENERGY.NS
81,The Byke Hosp,Hotels,47.95,-1.60,-3.23,192.0,https://www.moneycontrol.com/india/stockpricequote/hotels/thebykehospitality/SH12,BYKE.NS
82,Allcargo,Transport & Logistics,338.10,-11.55,-3.30,8307.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,ALLCARGO.NS
83,Renaissance,Diamond Cutting & Jewellery & Precious Metals,114.60,-4.15,-3.49,1082.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/renaissanceglobal/RJ,RGL.NS
84,EIH Assoc Hotel,Hotels,457.65,-19.80,-4.15,1394.0,https://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01,EIHAHOTELS.NS
85,Blue Coast,Hotels,6.55,-0.30,-4.38,8.0,https://www.moneycontrol.com/india/stockpricequote/hotels/bluecoasthotels/BCH,BLUECOAST.NS
86,Sical Logistics,Transport & Logistics,9.90,-0.50,-4.81,58.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/sicallogistics/SL15,SICAL.NS
87,GE Shipping,Shipping,536.70,-30.10,-5.31,7662.0,https://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,GESHIP.NS
88,Essar Shipping,Shipping,9.10,-0.75,-7.61,188.0,https://www.moneycontrol.com/india/stockpricequote/shipping/essarshipping/ES10,ESSARSHPNG.NS
